strategy,weight_vector,n_cells,ehd_mean,ehd_median,ehd_std,capacity_efficiency_mean,scheduler_feasibility_mean
cvss_only,na,1,3322860604.800000,3306189744.000000,80261676.342824,0.010000,1.000000
cvss_plus_epss_plus_kev,na,4,3293979883.200000,3293416692.000000,79564284.764962,0.021250,1.000000
cvss_x_epss,na,1,3322861142.400000,3306188160.000000,80261561.161073,0.010000,1.000000
epss_only,na,7,3305879048.228571,3303966096.000000,79851600.109369,0.016429,1.000000
kev_first,na,1,3322860907.733333,3306189520.000000,80261553.786068,0.010000,1.000000
proposed_fixed_prior,w_context_dominant,13,3293176141.210256,3288850640.000000,80669132.875444,0.013462,1.000000
proposed_fixed_prior,w_cvss_dominant,1,3314037667.200000,3297584632.000000,80421356.814040,0.010000,1.000000
proposed_fixed_prior,w_epss_dominant,4,3276422670.666667,3286141296.000000,79972716.052541,0.021250,1.000000
proposed_fixed_prior,w_kev_dominant,1,3320316233.066667,3303649736.000000,80322513.084616,0.010000,1.000000
proposed_fixed_prior,w_paper1_placeholder,13,3300059343.794872,3296536008.000000,80389822.466216,0.013462,1.000000
proposed_fixed_prior,w_uniform,1,3312834854.400000,3295913512.000000,80448445.261195,0.010000,1.000000
random,na,1,3322853913.600000,3306150576.000000,80262899.682157,0.010000,1.000000
